train_acc,train_cost,test_acc,test_cost,step,n_train
0.5,0.6839287877082825,0.5,0.6879192590713501,1,2
0.5,0.6668323278427124,0.5,0.6791834235191345,2,2
0.5,0.650044858455658,0.5400000214576721,0.6705496311187744,3,2
0.5,0.6335514783859253,0.6000000238418579,0.6619728803634644,4,2
1.0,0.6173250675201416,0.6600000262260437,0.6534177660942078,5,2
1.0,0.6013422608375549,0.6899999976158142,0.6448664665222168,6,2
1.0,0.5855926871299744,0.7200000286102295,0.6363076567649841,7,2
1.0,0.5700727105140686,0.7799999713897705,0.6277316808700562,8,2
1.0,0.5547806620597839,0.7900000214576721,0.6191319227218628,9,2
1.0,0.539715588092804,0.8100000023841858,0.610505223274231,10,2
1.0,0.524877667427063,0.8199999928474426,0.6018523573875427,11,2
1.0,0.5102689862251282,0.8500000238418579,0.593177855014801,12,2
1.0,0.4958935081958771,0.8700000047683716,0.5844892859458923,13,2
1.0,0.4817565977573395,0.8799999952316284,0.5757961273193359,14,2
1.0,0.4678645133972168,0.8799999952316284,0.5671092867851257,15,2
1.0,0.4542240500450134,0.8799999952316284,0.5584408044815063,16,2
1.0,0.4408419728279114,0.8899999856948853,0.5498034358024597,17,2
1.0,0.42772501707077026,0.8999999761581421,0.5412102341651917,18,2
1.0,0.4148794412612915,0.9300000071525574,0.5326747298240662,19,2
1.0,0.4023113250732422,0.9300000071525574,0.5242104530334473,20,2
1.0,0.3900258243083954,0.9300000071525574,0.515830934047699,21,2
1.0,0.37802743911743164,0.9300000071525574,0.5075494050979614,22,2
1.0,0.3663199245929718,0.9399999976158142,0.4993787407875061,23,2
1.0,0.354905903339386,0.9399999976158142,0.491331547498703,24,2
1.0,0.3437873125076294,0.9399999976158142,0.4834196865558624,25,2
1.0,0.33296525478363037,0.9399999976158142,0.47565406560897827,26,2
1.0,0.32243984937667847,0.9399999976158142,0.4680440425872803,27,2
1.0,0.31221041083335876,0.9399999976158142,0.46059733629226685,28,2
1.0,0.30227550864219666,0.9399999976158142,0.453319787979126,29,2
1.0,0.29263296723365784,0.949999988079071,0.4462152123451233,30,2
1.0,0.2832798957824707,0.949999988079071,0.4392859637737274,31,2
1.0,0.27421292662620544,0.9599999785423279,0.43253281712532043,32,2
1.0,0.2654283046722412,0.9599999785423279,0.4259551763534546,33,2
1.0,0.25692152976989746,0.9599999785423279,0.4195516109466553,34,2
1.0,0.24868819117546082,0.9599999785423279,0.4133194088935852,35,2
1.0,0.24072319269180298,0.9599999785423279,0.407255083322525,36,2
1.0,0.23302149772644043,0.9599999785423279,0.40135398507118225,37,2
1.0,0.22557765245437622,0.9599999785423279,0.3956102132797241,38,2
1.0,0.21838615834712982,0.9599999785423279,0.3900165557861328,39,2
1.0,0.21144121885299683,0.9599999785423279,0.38456451892852783,40,2
1.0,0.2047366499900818,0.9599999785423279,0.3792438805103302,41,2
1.0,0.19826564192771912,0.9599999785423279,0.37404322624206543,42,2
1.0,0.19202104210853577,0.9599999785423279,0.36895015835762024,43,2
1.0,0.1859949231147766,0.9599999785423279,0.3639514446258545,44,2
1.0,0.18017905950546265,0.9599999785423279,0.35903412103652954,45,2
1.0,0.17456507682800293,0.9599999785423279,0.3541850745677948,46,2
1.0,0.1691446155309677,0.9599999785423279,0.34939220547676086,47,2
1.0,0.16390950977802277,0.9599999785423279,0.344644695520401,48,2
1.0,0.15885208547115326,0.9599999785423279,0.33993327617645264,49,2
1.0,0.15396511554718018,0.9599999785423279,0.3352508842945099,50,2
1.0,0.1492421180009842,0.9599999785423279,0.3305929899215698,51,2
1.0,0.1446772962808609,0.9599999785423279,0.3259575664997101,52,2
1.0,0.14026537537574768,0.9599999785423279,0.3213452398777008,53,2
1.0,0.13600191473960876,0.9599999785423279,0.31675922870635986,54,2
1.0,0.13188283145427704,0.9599999785423279,0.31220459938049316,55,2
1.0,0.12790411710739136,0.9599999785423279,0.30768826603889465,56,2
1.0,0.12406203150749207,0.9599999785423279,0.3032187521457672,57,2
1.0,0.12035293877124786,0.9599999785423279,0.298805832862854,58,2
1.0,0.11677305400371552,0.9599999785423279,0.2944604158401489,59,2
1.0,0.1133187785744667,0.9599999785423279,0.29019394516944885,60,2
1.0,0.10998636484146118,0.9599999785423279,0.28601813316345215,61,2
1.0,0.10677237063646317,0.9599999785423279,0.2819439768791199,62,2
1.0,0.10367284715175629,0.9599999785423279,0.2779809236526489,63,2
1.0,0.10068400204181671,0.9599999785423279,0.27413636445999146,64,2
1.0,0.09780174493789673,0.9599999785423279,0.270414799451828,65,2
1.0,0.09502170979976654,0.9599999785423279,0.26681819558143616,66,2
1.0,0.09233982861042023,0.9599999785423279,0.2633458375930786,67,2
1.0,0.08975201845169067,0.9700000286102295,0.2599949240684509,68,2
1.0,0.08725456893444061,0.9700000286102295,0.256760835647583,69,2
1.0,0.0848439633846283,0.9700000286102295,0.2536377012729645,70,2
1.0,0.0825168639421463,0.9700000286102295,0.2506188154220581,71,2
1.0,0.08027002215385437,0.9700000286102295,0.24769729375839233,72,2
1.0,0.07810011506080627,0.9700000286102295,0.24486689269542694,73,2
1.0,0.07600416243076324,0.9800000190734863,0.24212239682674408,74,2
1.0,0.07397919148206711,0.9800000190734863,0.2394598126411438,75,2
1.0,0.07202242314815521,0.9800000190734863,0.23687613010406494,76,2
1.0,0.07013089954853058,0.9800000190734863,0.23436874151229858,77,2
1.0,0.0683019608259201,0.9800000190734863,0.23193520307540894,78,2
1.0,0.06653261184692383,0.9800000190734863,0.22957247495651245,79,2
1.0,0.06482022255659103,0.9800000190734863,0.2272769808769226,80,2
1.0,0.06316199898719788,0.9800000190734863,0.22504429519176483,81,2
1.0,0.06155548244714737,0.9800000190734863,0.222869411110878,82,2
1.0,0.05999843031167984,0.9800000190734863,0.22074681520462036,83,2
1.0,0.0584886372089386,0.9800000190734863,0.21867133677005768,84,2
1.0,0.0570240318775177,0.9800000190734863,0.21663878858089447,85,2
1.0,0.0556025356054306,0.9800000190734863,0.21464687585830688,86,2
1.0,0.05422254651784897,0.9800000190734863,0.21269473433494568,87,2
1.0,0.05288233980536461,0.9800000190734863,0.21078339219093323,88,2
1.0,0.05158057063817978,0.9800000190734863,0.20891432464122772,89,2
1.0,0.050315678119659424,0.9800000190734863,0.20708909630775452,90,2
1.0,0.04908660799264908,0.9800000190734863,0.20530837774276733,91,2
1.0,0.047892190515995026,0.9800000190734863,0.20357154309749603,92,2
1.0,0.04673147201538086,0.9800000190734863,0.20187659561634064,93,2
1.0,0.045603737235069275,0.9800000190734863,0.20022040605545044,94,2
1.0,0.04450834542512894,0.9800000190734863,0.19859951734542847,95,2
1.0,0.04344458878040314,0.9800000190734863,0.19701093435287476,96,2
1.0,0.0424119308590889,0.9800000190734863,0.19545315206050873,97,2
1.0,0.0414096862077713,0.9800000190734863,0.1939263939857483,98,2
1.0,0.040437452495098114,0.9800000190734863,0.19243232905864716,99,2
1.0,0.03949463367462158,0.9800000190734863,0.19097355008125305,100,2
1.0,0.5728745460510254,0.47999998927116394,0.6810920238494873,1,2
1.0,0.5336912870407104,0.47999998927116394,0.6876411437988281,2,2
1.0,0.4963024854660034,0.47999998927116394,0.6963719129562378,3,2
1.0,0.46055299043655396,0.47999998927116394,0.7074192762374878,4,2
1.0,0.426308274269104,0.47999998927116394,0.7209091186523438,5,2
1.0,0.3935149610042572,0.47999998927116394,0.7369623780250549,6,2
1.0,0.3621528744697571,0.47999998927116394,0.7556931376457214,7,2
1.0,0.3322303593158722,0.47999998927116394,0.7772037982940674,8,2
1.0,0.30377423763275146,0.47999998927116394,0.8015820980072021,9,2
1.0,0.2768169045448303,0.47999998927116394,0.8288986086845398,10,2
1.0,0.2513883113861084,0.47999998927116394,0.8592024445533752,11,2
1.0,0.2275111973285675,0.47999998927116394,0.892517626285553,12,2
1.0,0.20519837737083435,0.47999998927116394,0.9288394451141357,13,2
1.0,0.18445175886154175,0.47999998927116394,0.9681289792060852,14,2
1.0,0.16526122391223907,0.47999998927116394,1.0103100538253784,15,2
1.0,0.14760485291481018,0.47999998927116394,1.0552654266357422,16,2
1.0,0.13144855201244354,0.47999998927116394,1.102837324142456,17,2
1.0,0.1167462021112442,0.47999998927116394,1.152827501296997,18,2
